region	chr	midPos	Nsites
(2962,3461)(3000,3499)(3000,3500)	Pt	3250	501	0.477920
(3062,3561)(3100,3599)(3100,3600)	Pt	3350	501	0.470839
(3162,3661)(3200,3699)(3200,3700)	Pt	3450	501	0.493209
(3262,3761)(3300,3799)(3300,3800)	Pt	3550	501	0.534462
(3362,3861)(3400,3899)(3400,3900)	Pt	3650	501	0.548810
(3462,3961)(3500,3999)(3500,4000)	Pt	3750	501	0.529955
(3562,4061)(3600,4099)(3600,4100)	Pt	3850	501	0.494640
(3662,4161)(3700,4199)(3700,4200)	Pt	3950	501	0.441741
(3762,4261)(3800,4299)(3800,4300)	Pt	4050	501	0.347896
(3862,4361)(3900,4399)(3900,4400)	Pt	4150	501	0.404099
(3962,4461)(4000,4499)(4000,4500)	Pt	4250	501	0.465354
(4062,4561)(4100,4599)(4100,4600)	Pt	4350	501	0.497979
(4162,4661)(4200,4699)(4200,4700)	Pt	4450	501	0.523256
(4262,4761)(4300,4799)(4300,4800)	Pt	4550	501	0.529574
(4362,4861)(4400,4899)(4400,4900)	Pt	4650	501	0.489376
(4462,4961)(4500,4999)(4500,5000)	Pt	4750	501	0.506985
(4562,5061)(4600,5099)(4600,5100)	Pt	4850	501	0.562394
(4662,5161)(4700,5199)(4700,5200)	Pt	4950	501	0.539422
(4762,5261)(4800,5299)(4800,5300)	Pt	5050	501	0.556979
(4862,5361)(4900,5399)(4900,5400)	Pt	5150	501	0.557951
(4962,5461)(5000,5499)(5000,5500)	Pt	5250	501	0.533244
(5062,5561)(5100,5599)(5100,5600)	Pt	5350	501	0.474934
(5162,5661)(5200,5699)(5200,5700)	Pt	5450	501	0.463601
(5262,5761)(5300,5799)(5300,5800)	Pt	5550	501	0.457187
(5362,5861)(5400,5899)(5400,5900)	Pt	5650	501	0.481123
(5462,5961)(5500,5999)(5500,6000)	Pt	5750	501	0.457579
(5562,6061)(5600,6099)(5600,6100)	Pt	5850	501	0.427085
(5662,6161)(5700,6199)(5700,6200)	Pt	5950	501	0.439474
(5762,6261)(5800,6299)(5800,6300)	Pt	6050	501	0.409469
(5862,6361)(5900,6399)(5900,6400)	Pt	6150	501	0.358275
(5962,6461)(6000,6499)(6000,6500)	Pt	6250	501	0.377173
(6062,6561)(6100,6599)(6100,6600)	Pt	6350	501	0.431068
(6162,6661)(6200,6699)(6200,6700)	Pt	6450	501	0.458958
(6262,6761)(6300,6799)(6300,6800)	Pt	6550	501	0.478029
(6362,6861)(6400,6899)(6400,6900)	Pt	6650	501	0.494587
(6462,6961)(6500,6999)(6500,7000)	Pt	6750	501	0.499114
(6562,7061)(6600,7099)(6600,7100)	Pt	6850	501	0.480149
(6662,7161)(6700,7199)(6700,7200)	Pt	6950	501	0.472258
(6762,7261)(6800,7299)(6800,7300)	Pt	7050	501	0.460137
(6862,7361)(6900,7399)(6900,7400)	Pt	7150	501	0.447883
(6962,7461)(7000,7499)(7000,7500)	Pt	7250	501	0.442027
(7062,7561)(7100,7599)(7100,7600)	Pt	7350	501	0.460619
(7162,7661)(7200,7699)(7200,7700)	Pt	7450	501	0.445820
(7262,7761)(7300,7799)(7300,7800)	Pt	7550	501	0.482522
(7362,7861)(7400,7899)(7400,7900)	Pt	7650	501	0.496463
(7462,7961)(7500,7999)(7500,8000)	Pt	7750	501	0.472536
(7562,8061)(7600,8099)(7600,8100)	Pt	7850	501	0.466876
(7662,8161)(7700,8199)(7700,8200)	Pt	7950	501	0.490643
(7762,8261)(7800,8299)(7800,8300)	Pt	8050	501	0.472080
(7862,8361)(7900,8399)(7900,8400)	Pt	8150	501	0.442092
(7962,8461)(8000,8499)(8000,8500)	Pt	8250	501	0.437864
(8062,8561)(8100,8599)(8100,8600)	Pt	8350	501	0.444684
(8162,8661)(8200,8699)(8200,8700)	Pt	8450	501	0.417798
(8262,8761)(8300,8799)(8300,8800)	Pt	8550	501	0.423217
(8362,8861)(8400,8899)(8400,8900)	Pt	8650	501	0.420349
(8462,8961)(8500,8999)(8500,9000)	Pt	8750	501	0.440588
(8562,9061)(8600,9099)(8600,9100)	Pt	8850	501	0.401023
(8662,9161)(8700,9199)(8700,9200)	Pt	8950	501	0.474766
(8762,9261)(8800,9299)(8800,9300)	Pt	9050	501	0.456806
(8862,9361)(8900,9399)(8900,9400)	Pt	9150	501	0.487592
(8962,9461)(9000,9499)(9000,9500)	Pt	9250	501	0.471600
(9062,9561)(9100,9599)(9100,9600)	Pt	9350	501	0.472770
(9162,9661)(9200,9699)(9200,9700)	Pt	9450	501	0.456344
(9262,9761)(9300,9799)(9300,9800)	Pt	9550	501	0.454742
(9362,9861)(9400,9899)(9400,9900)	Pt	9650	501	0.433917
(9462,9961)(9500,9999)(9500,10000)	Pt	9750	501	0.425390
(9562,10061)(9600,10099)(9600,10100)	Pt	9850	501	0.436213
(9662,10161)(9700,10199)(9700,10200)	Pt	9950	501	0.388118
(9762,10261)(9800,10299)(9800,10300)	Pt	10050	501	0.417514
(9862,10361)(9900,10399)(9900,10400)	Pt	10150	501	0.420156
(9962,10461)(10000,10499)(10000,10500)	Pt	10250	501	0.417367
(10062,10561)(10100,10599)(10100,10600)	Pt	10350	501	0.400206
(10162,10661)(10200,10699)(10200,10700)	Pt	10450	501	0.406632
(10262,10761)(10300,10799)(10300,10800)	Pt	10550	501	0.415074
(10362,10861)(10400,10899)(10400,10900)	Pt	10650	501	0.403038
(10462,10961)(10500,10999)(10500,11000)	Pt	10750	501	0.455704
(10562,11061)(10600,11099)(10600,11100)	Pt	10850	501	0.494901
(10662,11161)(10700,11199)(10700,11200)	Pt	10950	501	0.555070
(10762,11261)(10800,11299)(10800,11300)	Pt	11050	501	0.536162
(10862,11361)(10900,11399)(10900,11400)	Pt	11150	501	0.547294
(10962,11461)(11000,11499)(11000,11500)	Pt	11250	501	0.574792
(11062,11561)(11100,11599)(11100,11600)	Pt	11350	501	0.568845
(11162,11661)(11200,11699)(11200,11700)	Pt	11450	501	0.539128
(11262,11761)(11300,11799)(11300,11800)	Pt	11550	501	0.569842
(11362,11861)(11400,11899)(11400,11900)	Pt	11650	501	0.562975
(11462,11961)(11500,11999)(11500,12000)	Pt	11750	501	0.521194
(11562,12061)(11600,12099)(11600,12100)	Pt	11850	501	0.502295
(11662,12161)(11700,12199)(11700,12200)	Pt	11950	501	0.490093
(11762,12261)(11800,12299)(11800,12300)	Pt	12050	501	0.434482
(11862,12361)(11900,12399)(11900,12400)	Pt	12150	501	0.424300
(11962,12461)(12000,12499)(12000,12500)	Pt	12250	501	0.419444
(12062,12561)(12100,12599)(12100,12600)	Pt	12350	501	0.455571
(12162,12661)(12200,12699)(12200,12700)	Pt	12450	501	0.488409
(12262,12761)(12300,12799)(12300,12800)	Pt	12550	501	0.509474
(12362,12861)(12400,12899)(12400,12900)	Pt	12650	501	0.500348
(12462,12961)(12500,12999)(12500,13000)	Pt	12750	501	0.492174
(12562,13061)(12600,13099)(12600,13100)	Pt	12850	501	0.433995
(12662,13161)(12700,13199)(12700,13200)	Pt	12950	501	0.390166
(12762,13261)(12800,13299)(12800,13300)	Pt	13050	501	0.375556
(12862,13361)(12900,13399)(12900,13400)	Pt	13150	501	0.387452
(12962,13461)(13000,13499)(13000,13500)	Pt	13250	501	0.390781
(13062,13561)(13100,13599)(13100,13600)	Pt	13350	501	0.371432
(13162,13661)(13200,13699)(13200,13700)	Pt	13450	501	0.361527
(13262,13761)(13300,13799)(13300,13800)	Pt	13550	501	0.390970
(13362,13861)(13400,13899)(13400,13900)	Pt	13650	501	0.443856
(13462,13961)(13500,13999)(13500,14000)	Pt	13750	501	0.453135
(13562,14061)(13600,14099)(13600,14100)	Pt	13850	501	0.467304
(13662,14161)(13700,14199)(13700,14200)	Pt	13950	501	0.493972
(13762,14261)(13800,14299)(13800,14300)	Pt	14050	501	0.473544
(13862,14361)(13900,14399)(13900,14400)	Pt	14150	501	0.442519
(13962,14461)(14000,14499)(14000,14500)	Pt	14250	501	0.463326
(14062,14561)(14100,14599)(14100,14600)	Pt	14350	501	0.459876
(14162,14661)(14200,14699)(14200,14700)	Pt	14450	501	0.443454
(14262,14761)(14300,14799)(14300,14800)	Pt	14550	501	0.456034
(14362,14861)(14400,14899)(14400,14900)	Pt	14650	501	0.447227
(14462,14961)(14500,14999)(14500,15000)	Pt	14750	501	0.410741
(14562,15061)(14600,15099)(14600,15100)	Pt	14850	501	0.427075
(14662,15161)(14700,15199)(14700,15200)	Pt	14950	501	0.412618
(14762,15261)(14800,15299)(14800,15300)	Pt	15050	501	0.481716
(14862,15361)(14900,15399)(14900,15400)	Pt	15150	501	0.489088
(14962,15461)(15000,15499)(15000,15500)	Pt	15250	501	0.507386
(15062,15561)(15100,15599)(15100,15600)	Pt	15350	501	0.491828
(15162,15661)(15200,15699)(15200,15700)	Pt	15450	501	0.495391
(15262,15761)(15300,15799)(15300,15800)	Pt	15550	501	0.404167
(15362,15861)(15400,15899)(15400,15900)	Pt	15650	501	0.368023
(15462,15961)(15500,15999)(15500,16000)	Pt	15750	501	0.306676
(15562,16061)(15600,16099)(15600,16100)	Pt	15850	501	0.363876
(15662,16161)(15700,16199)(15700,16200)	Pt	15950	501	0.374979
(15762,16261)(15800,16299)(15800,16300)	Pt	16050	501	0.401906
(15862,16361)(15900,16399)(15900,16400)	Pt	16150	501	0.440653
(15962,16461)(16000,16499)(16000,16500)	Pt	16250	501	0.448318
(16062,16561)(16100,16599)(16100,16600)	Pt	16350	501	0.452564
(16162,16661)(16200,16699)(16200,16700)	Pt	16450	501	0.479634
(16262,16761)(16300,16799)(16300,16800)	Pt	16550	501	0.476395
(16362,16861)(16400,16899)(16400,16900)	Pt	16650	501	0.472433
(16462,16961)(16500,16999)(16500,17000)	Pt	16750	501	0.498769
(16562,17061)(16600,17099)(16600,17100)	Pt	16850	501	0.433411
(16662,17161)(16700,17199)(16700,17200)	Pt	16950	501	0.452099
(16762,17261)(16800,17299)(16800,17300)	Pt	17050	501	0.451254
(16862,17361)(16900,17399)(16900,17400)	Pt	17150	501	0.445678
(16962,17461)(17000,17499)(17000,17500)	Pt	17250	501	0.458810
(17062,17561)(17100,17599)(17100,17600)	Pt	17350	501	0.493253
(17162,17661)(17200,17699)(17200,17700)	Pt	17450	501	0.467819
(17262,17761)(17300,17799)(17300,17800)	Pt	17550	501	0.458429
(17362,17861)(17400,17899)(17400,17900)	Pt	17650	501	0.464309
(17462,17961)(17500,17999)(17500,18000)	Pt	17750	501	0.440375
(17562,18061)(17600,18099)(17600,18100)	Pt	17850	501	0.431558
(17662,18161)(17700,18199)(17700,18200)	Pt	17950	501	0.436655
(17762,18261)(17800,18299)(17800,18300)	Pt	18050	501	0.411622
(17862,18361)(17900,18399)(17900,18400)	Pt	18150	501	0.400976
(17962,18461)(18000,18499)(18000,18500)	Pt	18250	501	0.431361
(18062,18561)(18100,18599)(18100,18600)	Pt	18350	501	0.421578
(18162,18661)(18200,18699)(18200,18700)	Pt	18450	501	0.440197
(18262,18761)(18300,18799)(18300,18800)	Pt	18550	501	0.474427
(18362,18861)(18400,18899)(18400,18900)	Pt	18650	501	0.456407
(18462,18961)(18500,18999)(18500,19000)	Pt	18750	501	0.475370
(18562,19061)(18600,19099)(18600,19100)	Pt	18850	501	0.456529
(18662,19161)(18700,19199)(18700,19200)	Pt	18950	501	0.428748
(18762,19261)(18800,19299)(18800,19300)	Pt	19050	501	0.436777
(18862,19361)(18900,19399)(18900,19400)	Pt	19150	501	0.460509
(18962,19461)(19000,19499)(19000,19500)	Pt	19250	501	0.450723
(19062,19561)(19100,19599)(19100,19600)	Pt	19350	501	0.468543
(19162,19661)(19200,19699)(19200,19700)	Pt	19450	501	0.476391
(19262,19761)(19300,19799)(19300,19800)	Pt	19550	501	0.440716
(19362,19861)(19400,19899)(19400,19900)	Pt	19650	501	0.432726
(19462,19961)(19500,19999)(19500,20000)	Pt	19750	501	0.459708
(19562,20061)(19600,20099)(19600,20100)	Pt	19850	501	0.454004
(19662,20161)(19700,20199)(19700,20200)	Pt	19950	501	0.433226
(19762,20261)(19800,20299)(19800,20300)	Pt	20050	501	0.497419
(19862,20361)(19900,20399)(19900,20400)	Pt	20150	501	0.446459
(19962,20461)(20000,20499)(20000,20500)	Pt	20250	501	0.438118
(20062,20561)(20100,20599)(20100,20600)	Pt	20350	501	0.452487
(20162,20661)(20200,20699)(20200,20700)	Pt	20450	501	0.456339
(20262,20761)(20300,20799)(20300,20800)	Pt	20550	501	0.445812
(20362,20861)(20400,20899)(20400,20900)	Pt	20650	501	0.472521
(20462,20961)(20500,20999)(20500,21000)	Pt	20750	501	0.453382
(20562,21061)(20600,21099)(20600,21100)	Pt	20850	501	0.474699
(20662,21161)(20700,21199)(20700,21200)	Pt	20950	501	0.494747
(20762,21261)(20800,21299)(20800,21300)	Pt	21050	501	0.465298
(20862,21361)(20900,21399)(20900,21400)	Pt	21150	501	0.484755
(20962,21461)(21000,21499)(21000,21500)	Pt	21250	501	0.480379
(21062,21561)(21100,21599)(21100,21600)	Pt	21350	501	0.473851
(21162,21661)(21200,21699)(21200,21700)	Pt	21450	501	0.446386
(21262,21761)(21300,21799)(21300,21800)	Pt	21550	501	0.450035
(21362,21861)(21400,21899)(21400,21900)	Pt	21650	501	0.430249
(21462,21961)(21500,21999)(21500,22000)	Pt	21750	501	0.450082
(21562,22061)(21600,22099)(21600,22100)	Pt	21850	501	0.418294
(21662,22161)(21700,22199)(21700,22200)	Pt	21950	501	0.442057
(21762,22261)(21800,22299)(21800,22300)	Pt	22050	501	0.478631
(21862,22361)(21900,22399)(21900,22400)	Pt	22150	501	0.508264
(21962,22461)(22000,22499)(22000,22500)	Pt	22250	501	0.475151
(22062,22561)(22100,22599)(22100,22600)	Pt	22350	501	0.478312
(22162,22661)(22200,22699)(22200,22700)	Pt	22450	501	0.448015
(22262,22761)(22300,22799)(22300,22800)	Pt	22550	501	0.393229
(22362,22861)(22400,22899)(22400,22900)	Pt	22650	501	0.373813
(22462,22961)(22500,22999)(22500,23000)	Pt	22750	501	0.470286
(22562,23061)(22600,23099)(22600,23100)	Pt	22850	501	0.496998
(22662,23161)(22700,23199)(22700,23200)	Pt	22950	501	0.525695
(22762,23261)(22800,23299)(22800,23300)	Pt	23050	501	0.541686
(22862,23361)(22900,23399)(22900,23400)	Pt	23150	501	0.525794
(22962,23461)(23000,23499)(23000,23500)	Pt	23250	501	0.443030
(23062,23561)(23100,23599)(23100,23600)	Pt	23350	501	0.438349
(23162,23661)(23200,23699)(23200,23700)	Pt	23450	501	0.497485
(23262,23761)(23300,23799)(23300,23800)	Pt	23550	501	0.516913
(23362,23861)(23400,23899)(23400,23900)	Pt	23650	501	0.549396
(23462,23961)(23500,23999)(23500,24000)	Pt	23750	501	0.564458
(23562,24061)(23600,24099)(23600,24100)	Pt	23850	501	0.567935
(23662,24161)(23700,24199)(23700,24200)	Pt	23950	501	0.535763
(23762,24261)(23800,24299)(23800,24300)	Pt	24050	501	0.539882
(23862,24361)(23900,24399)(23900,24400)	Pt	24150	501	0.507814
(23962,24461)(24000,24499)(24000,24500)	Pt	24250	501	0.514413
(24062,24561)(24100,24599)(24100,24600)	Pt	24350	501	0.488903
(24162,24661)(24200,24699)(24200,24700)	Pt	24450	501	0.482078
(24262,24761)(24300,24799)(24300,24800)	Pt	24550	501	0.430776
(24362,24861)(24400,24899)(24400,24900)	Pt	24650	501	0.439112
(24462,24961)(24500,24999)(24500,25000)	Pt	24750	501	0.425997
(24562,25061)(24600,25099)(24600,25100)	Pt	24850	501	0.411355
(24662,25161)(24700,25199)(24700,25200)	Pt	24950	501	0.440272
(24762,25261)(24800,25299)(24800,25300)	Pt	25050	501	0.445586
(24862,25361)(24900,25399)(24900,25400)	Pt	25150	501	0.444306
(24962,25461)(25000,25499)(25000,25500)	Pt	25250	501	0.438807
(25062,25561)(25100,25599)(25100,25600)	Pt	25350	501	0.462592
(25162,25661)(25200,25699)(25200,25700)	Pt	25450	501	0.437141
(25262,25761)(25300,25799)(25300,25800)	Pt	25550	501	0.442701
(25362,25861)(25400,25899)(25400,25900)	Pt	25650	501	0.488343
(25462,25961)(25500,25999)(25500,26000)	Pt	25750	501	0.486525
(25562,26061)(25600,26099)(25600,26100)	Pt	25850	501	0.501054
(25662,26161)(25700,26199)(25700,26200)	Pt	25950	501	0.501358
(25762,26261)(25800,26299)(25800,26300)	Pt	26050	501	0.487919
(25862,26361)(25900,26399)(25900,26400)	Pt	26150	501	0.448848
(25962,26461)(26000,26499)(26000,26500)	Pt	26250	501	0.492452
(26062,26561)(26100,26599)(26100,26600)	Pt	26350	501	0.459751
(26162,26661)(26200,26699)(26200,26700)	Pt	26450	501	0.492235
(26262,26761)(26300,26799)(26300,26800)	Pt	26550	501	0.490626
(26362,26861)(26400,26899)(26400,26900)	Pt	26650	501	0.461146
(26462,26961)(26500,26999)(26500,27000)	Pt	26750	501	0.460464
(26562,27061)(26600,27099)(26600,27100)	Pt	26850	501	0.485039
(26662,27161)(26700,27199)(26700,27200)	Pt	26950	501	0.486760
(26762,27261)(26800,27299)(26800,27300)	Pt	27050	501	0.485512
(26862,27361)(26900,27399)(26900,27400)	Pt	27150	501	0.503277
(26962,27461)(27000,27499)(27000,27500)	Pt	27250	501	0.474425
(27062,27561)(27100,27599)(27100,27600)	Pt	27350	501	0.442472
(27162,27661)(27200,27699)(27200,27700)	Pt	27450	501	0.421092
(27262,27761)(27300,27799)(27300,27800)	Pt	27550	501	0.419650
(27362,27861)(27400,27899)(27400,27900)	Pt	27650	501	0.375212
(27462,27961)(27500,27999)(27500,28000)	Pt	27750	501	0.403026
(27562,28061)(27600,28099)(27600,28100)	Pt	27850	501	0.440126
(27662,28161)(27700,28199)(27700,28200)	Pt	27950	501	0.439883
(27762,28261)(27800,28299)(27800,28300)	Pt	28050	501	0.464590
(27862,28361)(27900,28399)(27900,28400)	Pt	28150	501	0.453607
(27962,28461)(28000,28499)(28000,28500)	Pt	28250	501	0.428563
(28062,28561)(28100,28599)(28100,28600)	Pt	28350	501	0.427186
(28162,28661)(28200,28699)(28200,28700)	Pt	28450	501	0.436002
(28262,28761)(28300,28799)(28300,28800)	Pt	28550	501	0.378946
(28362,28861)(28400,28899)(28400,28900)	Pt	28650	501	0.443272
(28462,28961)(28500,28999)(28500,29000)	Pt	28750	501	0.486022
(28562,29061)(28600,29099)(28600,29100)	Pt	28850	501	0.498923
(28662,29161)(28700,29199)(28700,29200)	Pt	28950	501	0.488534
(28762,29261)(28800,29299)(28800,29300)	Pt	29050	501	0.530989
(28862,29361)(28900,29399)(28900,29400)	Pt	29150	501	0.450606
(28962,29461)(29000,29499)(29000,29500)	Pt	29250	501	0.453621
(29062,29561)(29100,29599)(29100,29600)	Pt	29350	501	0.425699
(29162,29661)(29200,29699)(29200,29700)	Pt	29450	501	0.417127
(29262,29761)(29300,29799)(29300,29800)	Pt	29550	501	0.385642
(29362,29861)(29400,29899)(29400,29900)	Pt	29650	501	0.373363
(29462,29961)(29500,29999)(29500,30000)	Pt	29750	501	0.344086
(29562,30061)(29600,30099)(29600,30100)	Pt	29850	501	0.361810
(29662,30161)(29700,30199)(29700,30200)	Pt	29950	501	0.372075
(29762,30261)(29800,30299)(29800,30300)	Pt	30050	501	0.374938
(29862,30361)(29900,30399)(29900,30400)	Pt	30150	501	0.368474
(29962,30461)(30000,30499)(30000,30500)	Pt	30250	501	0.373816
(30062,30561)(30100,30599)(30100,30600)	Pt	30350	501	0.362209
(30162,30661)(30200,30699)(30200,30700)	Pt	30450	501	0.379446
(30262,30761)(30300,30799)(30300,30800)	Pt	30550	501	0.420328
(30362,30861)(30400,30899)(30400,30900)	Pt	30650	501	0.497053
(30462,30961)(30500,30999)(30500,31000)	Pt	30750	501	0.516735
(30562,31061)(30600,31099)(30600,31100)	Pt	30850	501	0.501263
(30662,31161)(30700,31199)(30700,31200)	Pt	30950	501	0.511543
(30762,31261)(30800,31299)(30800,31300)	Pt	31050	501	0.498219
(30862,31361)(30900,31399)(30900,31400)	Pt	31150	501	0.484847
(30962,31461)(31000,31499)(31000,31500)	Pt	31250	501	0.471797
(31062,31561)(31100,31599)(31100,31600)	Pt	31350	501	0.507433
(31162,31661)(31200,31699)(31200,31700)	Pt	31450	501	0.504626
(31262,31761)(31300,31799)(31300,31800)	Pt	31550	501	0.509012
(31362,31861)(31400,31899)(31400,31900)	Pt	31650	501	0.481638
(31462,31961)(31500,31999)(31500,32000)	Pt	31750	501	0.450517
(31562,32061)(31600,32099)(31600,32100)	Pt	31850	501	0.451145
(31662,32161)(31700,32199)(31700,32200)	Pt	31950	501	0.463270
(31762,32261)(31800,32299)(31800,32300)	Pt	32050	501	0.465898
(31862,32361)(31900,32399)(31900,32400)	Pt	32150	501	0.464547
(31962,32461)(32000,32499)(32000,32500)	Pt	32250	501	0.482997
(32062,32561)(32100,32599)(32100,32600)	Pt	32350	501	0.484409
(32162,32661)(32200,32699)(32200,32700)	Pt	32450	501	0.475282
(32262,32761)(32300,32799)(32300,32800)	Pt	32550	501	0.478444
(32362,32861)(32400,32899)(32400,32900)	Pt	32650	501	0.494595
(32462,32961)(32500,32999)(32500,33000)	Pt	32750	501	0.490493
(32562,33061)(32600,33099)(32600,33100)	Pt	32850	501	0.470501
(32662,33161)(32700,33199)(32700,33200)	Pt	32950	501	0.470852
(32762,33261)(32800,33299)(32800,33300)	Pt	33050	501	0.447334
(32862,33361)(32900,33399)(32900,33400)	Pt	33150	501	0.429836
(32962,33461)(33000,33499)(33000,33500)	Pt	33250	501	0.451315
(33062,33561)(33100,33599)(33100,33600)	Pt	33350	501	0.437772
(33162,33661)(33200,33699)(33200,33700)	Pt	33450	501	0.449727
(33262,33761)(33300,33799)(33300,33800)	Pt	33550	501	0.458180
(33362,33861)(33400,33899)(33400,33900)	Pt	33650	501	0.474925
(33462,33961)(33500,33999)(33500,34000)	Pt	33750	501	0.433364
(33562,34061)(33600,34099)(33600,34100)	Pt	33850	501	0.460761
(33662,34161)(33700,34199)(33700,34200)	Pt	33950	501	0.461042
(33762,34261)(33800,34299)(33800,34300)	Pt	34050	501	0.480034
(33862,34361)(33900,34399)(33900,34400)	Pt	34150	501	0.451375
(33962,34461)(34000,34499)(34000,34500)	Pt	34250	501	0.469581
(34062,34561)(34100,34599)(34100,34600)	Pt	34350	501	0.444746
(34162,34661)(34200,34699)(34200,34700)	Pt	34450	501	0.414118
(34262,34761)(34300,34799)(34300,34800)	Pt	34550	501	0.402590
(34362,34861)(34400,34899)(34400,34900)	Pt	34650	501	0.416662
(34462,34961)(34500,34999)(34500,35000)	Pt	34750	501	0.394398
(34562,35061)(34600,35099)(34600,35100)	Pt	34850	501	0.416387
(34662,35161)(34700,35199)(34700,35200)	Pt	34950	501	0.431058
(34762,35261)(34800,35299)(34800,35300)	Pt	35050	501	0.459210
(34862,35361)(34900,35399)(34900,35400)	Pt	35150	501	0.443904
(34962,35461)(35000,35499)(35000,35500)	Pt	35250	501	0.460975
(35062,35561)(35100,35599)(35100,35600)	Pt	35350	501	0.500329
(35162,35661)(35200,35699)(35200,35700)	Pt	35450	501	0.527734
(35262,35761)(35300,35799)(35300,35800)	Pt	35550	501	0.515195
(35362,35861)(35400,35899)(35400,35900)	Pt	35650	501	0.508874
(35462,35961)(35500,35999)(35500,36000)	Pt	35750	501	0.504681
(35562,36061)(35600,36099)(35600,36100)	Pt	35850	501	0.469067
(35662,36161)(35700,36199)(35700,36200)	Pt	35950	501	0.472674
(35762,36261)(35800,36299)(35800,36300)	Pt	36050	501	0.437395
(35862,36361)(35900,36399)(35900,36400)	Pt	36150	501	0.441998
(35962,36461)(36000,36499)(36000,36500)	Pt	36250	501	0.399981
(36062,36561)(36100,36599)(36100,36600)	Pt	36350	501	0.407884
(36162,36661)(36200,36699)(36200,36700)	Pt	36450	501	0.428252
(36262,36761)(36300,36799)(36300,36800)	Pt	36550	501	0.454031
(36362,36861)(36400,36899)(36400,36900)	Pt	36650	501	0.465656
(36462,36961)(36500,36999)(36500,37000)	Pt	36750	501	0.483420
(36562,37061)(36600,37099)(36600,37100)	Pt	36850	501	0.481717
(36662,37161)(36700,37199)(36700,37200)	Pt	36950	501	0.455131
(36762,37261)(36800,37299)(36800,37300)	Pt	37050	501	0.446421
(36862,37361)(36900,37399)(36900,37400)	Pt	37150	501	0.436435
(36962,37461)(37000,37499)(37000,37500)	Pt	37250	501	0.469061
(37062,37561)(37100,37599)(37100,37600)	Pt	37350	501	0.457347
(37162,37661)(37200,37699)(37200,37700)	Pt	37450	501	0.474416
(37262,37761)(37300,37799)(37300,37800)	Pt	37550	501	0.475511
(37362,37861)(37400,37899)(37400,37900)	Pt	37650	501	0.468101
(37462,37961)(37500,37999)(37500,38000)	Pt	37750	501	0.448589
(37562,38061)(37600,38099)(37600,38100)	Pt	37850	501	0.480458
(37662,38161)(37700,38199)(37700,38200)	Pt	37950	501	0.492943
(37762,38261)(37800,38299)(37800,38300)	Pt	38050	501	0.512175
(37862,38361)(37900,38399)(37900,38400)	Pt	38150	501	0.545227
(37962,38461)(38000,38499)(38000,38500)	Pt	38250	501	0.526191
(38062,38561)(38100,38599)(38100,38600)	Pt	38350	501	0.532902
(38162,38661)(38200,38699)(38200,38700)	Pt	38450	501	0.530383
(38262,38761)(38300,38799)(38300,38800)	Pt	38550	501	0.517753
(38362,38861)(38400,38899)(38400,38900)	Pt	38650	501	0.503721
(38462,38961)(38500,38999)(38500,39000)	Pt	38750	501	0.497113
(38562,39061)(38600,39099)(38600,39100)	Pt	38850	501	0.490183
(38662,39161)(38700,39199)(38700,39200)	Pt	38950	501	0.466352
(38762,39261)(38800,39299)(38800,39300)	Pt	39050	501	0.455927
(38862,39361)(38900,39399)(38900,39400)	Pt	39150	501	0.419937
